Name,Platform,Year,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count
Pokemon Stadium,N64,1999,Strategy,Nintendo,,,,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,66,22,7.1,156
Call of Duty: World at War,PS3,2008,Shooter,Activision,85,45,7.6,409
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,93,113,7.9,7064
Dr. Mario,GB,1989,Puzzle,Nintendo,,,,
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,83,83,7.3,2483
Pokemon Pinball,GB,1999,Misc,Nintendo,,,,
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,94,22,8.9,779
Assassin's Creed III,X360,2012,Action,Ubisoft,84,61,6.7,1196
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,85,45,6.6,400
Donkey Kong 64,N64,1999,Platform,Nintendo,,,,
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,81,53,5.4,898
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,,,,
Assassin's Creed II,X360,2009,Action,Ubisoft,90,82,8.8,1305
Tomb Raider II,PS,1997,Action,Eidos Interactive,85,13,,
Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,94,29,8.5,140
Tomodachi Life,3DS,2013,Simulation,Nintendo,,,,
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,84,70,8.1,733
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,89,63,8.8,245
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,,,,
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,85,72,8.6,147
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,,,,
FIFA Soccer 13,X360,2012,Action,Electronic Arts,90,48,6.1,403
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,,,,
Diablo III,PC,2012,Role-Playing,Activision,88,86,4,9629
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,68,30,7.6,100
Kirby's Dream Land,GB,1992,Platform,Nintendo,,,,
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,,,,
Guitar Hero II,PS2,2006,Misc,RedOctane,92,69,8.5,112
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,80,88,6.5,604
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,,,,
Resident Evil 5,PS3,2009,Action,Capcom,84,76,7.5,667
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,90,57,8,416
Super Mario Bros.,GB,1999,Platform,Nintendo,,,,
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,89,51,8,233
Resident Evil,PS,1996,Action,Virgin Interactive,91,8,9,266
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,86,50,8,150
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,92,18,9.2,69
Warzone 2100,PS,1999,Strategy,Eidos Interactive,,,,
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,,,,
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,82,24,8.2,46
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,68,34,7.1,47
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,,,,
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,93,84,8.5,1655
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,88,66,8.1,2306
Madden NFL 06,PS2,2005,Sports,Electronic Arts,88,29,8,121
Diddy Kong Racing,N64,1997,Racing,Nintendo,,,,
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,,,,
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,,,,
Dr. Mario,NES,1990,Puzzle,Nintendo,,,,
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,93,82,8.2,3052
Assassin's Creed,PS3,2007,Adventure,Ubisoft,81,40,7.3,769
God of War III,PS3,2010,Action,Sony Computer Entertainment,92,101,8.7,2633
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,88,20,9,233
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,80,9,5.4,46
Driver 2,PS,2000,Action,Atari,62,14,7.7,92
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,94,87,8.7,1472
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,,,,
The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,,,,
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,98,19,7.7,299
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,82,32,8.2,78
Tomb Raider,PS,1996,Action,Eidos Interactive,91,13,8.6,147
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,73,50,7.6,119
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,86,78,8.1,1264
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,,,,
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,96,80,8.9,968
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,86,36,8.4,87
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,86,74,8.4,458
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,91,83,8.2,617
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,,,,
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,91,30,7.9,78
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,85,69,7.9,165
Pitfall!,2600,1981,Platform,Activision,,,,
Madden NFL 07,PS2,2006,Sports,Electronic Arts,84,29,8.2,39
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,84,101,6.4,2438
Spider-Man: The Movie,PS2,2002,Action,Activision,76,25,7.9,41
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,,,,
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,77,82,3.4,1129
God of War,PS2,2005,Action,Sony Computer Entertainment,94,75,8.9,997
Splatoon,WiiU,2015,Shooter,Nintendo,81,88,8.5,1184
Nintendo Land,WiiU,2012,Misc,Nintendo,77,61,7.9,471
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,97,34,7.5,298
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,86,19,8.9,33
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,94,90,8.7,1109
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,,,,
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,82,36,9.1,137
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,56,37,8.3,31
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,,,4.8,207
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,86,70,8.1,715
Sonic the Hedgehog,GEN,1991,Platform,Sega,,,,
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,87,64,9,766
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,,,,
Super Mario 3D World,WiiU,2013,Platform,Nintendo,93,83,9,1607
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,,,,
Asteroids,2600,1980,Shooter,Atari,,,,
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,,,4.9,221
FIFA 15,PS3,2014,Sports,Electronic Arts,,,4.5,109
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,89,95,6.5,2423
Namco Museum,GBA,2001,Misc,Namco Bandai Games,79,10,7.3,6
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,91,70,8.9,1122
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,91,68,9.3,955
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,80,39,7.5,613
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,88,39,6.2,1749
FIFA 14,X360,2013,Sports,Electronic Arts,84,41,4.2,435
Daxter,PSP,2006,Platform,Sony Computer Entertainment,85,59,8.7,109
Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,,,,
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,80,32,7.8,47
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,80,32,7.5,22
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,80,67,7.1,120
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,80,77,7.2,564
FIFA 12,X360,2011,Sports,Electronic Arts,,,,
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,,,,
Street Fighter IV,PS3,2009,Fighting,Capcom,94,61,7.3,330
Excitebike,NES,1984,Racing,Nintendo,,,,
Frogger,PS,1997,Action,Hasbro Interactive,,,,
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,95,25,7.7,65
Half-Life,PC,1997,Shooter,Vivendi Games,96,24,9.1,3161
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,,,,
FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,,,,
Street Fighter II Turbo,SNES,1992,Fighting,Capcom,,,,
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,91,46,7.9,785
Battlefield 1,PS4,2016,Shooter,Electronic Arts,88,31,8.4,809
God of War II,PS2,2007,Action,Sony Computer Entertainment,93,70,8.9,709
World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,,,8.2,23
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,84,81,8.1,769
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,90,66,8.3,381
Carnival Games,Wii,2007,Misc,Take-Two Interactive,56,27,6,44
Watch Dogs,PS4,2014,Action,Ubisoft,80,80,6.3,2996
Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,,,,
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,85,25,8.5,117
Far Cry 4,PS4,2014,Shooter,Ubisoft,85,83,7.7,1653
Star Fox 64,N64,1997,Shooter,Nintendo,,,,
Golf,NES,1984,Sports,Nintendo,,,,
Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,61,21,tbd,
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,89,76,8.6,681
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,92,79,9.2,10179
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,70,40,4.9,2050
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,87,89,7.6,2679
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,93,81,8,1958
Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,90,57,8,910
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,84,65,8.8,72
Donkey Kong Land,GB,1994,Platform,Nintendo,,,,
EA Sports Active,Wii,2009,Sports,Electronic Arts,81,27,8.7,39
Tony Hawk's Underground,PS2,2003,Sports,Activision,90,38,8.7,121
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,86,80,8.7,348
The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,94,32,8.1,9073
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,87,51,6.7,364
Tekken 5,PS2,2005,Fighting,Namco Bandai Games,88,62,8.6,229
Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,,,,
MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,84,9,7.4,220
Nintendogs + cats,3DS,2011,Simulation,Nintendo,,,,
World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,91,26,9.1,38
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,76,64,7.9,104
Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,,,,
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,,,,
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,78,49,3.7,1564
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,59,22,4,4
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,80,64,7,2219
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,68,33,6.9,39
Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,,,,
Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,,,,
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,77,60,7.5,66
The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,79,21,8,29
Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,,,,
Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,64,11,7.5,41
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,,,,
Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,,,,
Super Paper Mario,Wii,2007,Platform,Nintendo,85,56,7.9,417
Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,91,15,8.8,207
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,88,36,8.1,840
FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,81,27,7.6,56
Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,,,,
Friend Collection,DS,2009,Misc,Nintendo,,,,
Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,94,27,8.5,128
Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts,,,,
MySims,DS,2007,Simulation,Electronic Arts,67,15,7.3,13
Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,74,34,8.4,31
Banjo-Kazooie,N64,1998,Platform,Nintendo,,,,
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,82,42,7.9,82
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,90,35,8.7,312
Pokemon Snap,N64,1999,Simulation,Nintendo,,,,
Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,82,10,7.9,38
Resident Evil 4,PS2,2005,Action,Capcom,96,38,8.9,1013
Guitar Hero: World Tour,Wii,2008,Misc,Activision,86,18,7.6,71
